"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Brunei Darussalam"," 1974","37.57 [35.97-39.25]","40.89 [38.92-42.99]","34.06 [32.36-35.81]","195 [187-204]","109 [105-116]","86 [81-90]"
"Brunei Darussalam"," 1973","41.69 [39.94-43.5]","45.34 [43.21-47.56]","37.81 [36-39.75]","211 [202-220]","118 [113-124]","93 [88-97]"
"Brunei Darussalam"," 1972","45.93 [44.09-47.86]","49.92 [47.67-52.35]","41.73 [39.74-43.81]","225 [216-235]","126 [121-133]","99 [94-104]"
"Brunei Darussalam"," 1971","50.12 [48.18-52.11]","54.39 [52.02-56.9]","45.62 [43.5-47.79]","237 [228-246]","133 [127-139]","104 [99-109]"
"Brunei Darussalam"," 1970","54.04 [51.97-56.18]","58.58 [56.03-61.23]","49.26 [46.99-51.58]","245 [236-255]","137 [131-143]","108 [103-113]"
"Brunei Darussalam"," 1969","57.53 [55.39-59.75]","62.33 [59.7-65.14]","52.47 [50.07-54.95]","251 [242-261]","140 [135-147]","111 [106-116]"
"Brunei Darussalam"," 1968","60.73 [58.42-63.17]","65.77 [62.93-68.77]","55.45 [52.9-58.1]","257 [247-267]","144 [137-150]","113 [108-119]"
"Brunei Darussalam"," 1967","64.04 [61.54-66.66]","69.3 [66.26-72.41]","58.54 [55.76-61.38]","264 [254-275]","147 [141-154]","117 [111-122]"
"Brunei Darussalam"," 1966","67.95 [65.1-70.75]","73.48 [70.12-76.87]","62.09 [59.05-65.21]","274 [263-285]","153 [146-160]","121 [115-127]"
"Brunei Darussalam"," 1965","72.88 [69.63-76.15]","78.74 [74.86-82.55]","66.72 [63.28-70.29]","288 [276-301]","160 [153-169]","128 [121-135]"
"Brunei Darussalam"," 1964","79.52 [75.7-83.37]","85.77 [81.33-90.33]","72.84 [68.94-76.94]","309 [294-324]","172 [163-181]","137 [130-145]"
"Brunei Darussalam"," 1963","88.01 [83.53-92.59]","94.89 [89.8-100.24]","80.72 [76.23-85.47]","335 [318-353]","186 [177-197]","149 [141-158]"
"Brunei Darussalam"," 1962","98.33 [93.29-103.48]","105.95 [100.17-112.01]","90.26 [85.2-95.64]","366 [347-385]","203 [192-215]","163 [153-172]"
"Brunei Darussalam"," 1961","110.13 [104.74-115.64]","118.58 [112.32-124.98]","101.22 [95.72-106.98]","397 [378-417]","220 [209-233]","177 [167-187]"
"Brunei Darussalam"," 1960","122.53 [117.07-128.15]","131.84 [125.48-138.51]","112.7 [107.02-118.61]","425 [406-444]","236 [224-248]","189 [179-199]"
"Brunei Darussalam"," 1959","134.31 [129.06-139.75]","144.48 [138.19-151.02]","123.61 [118.05-129.46]","445 [427-463]","247 [236-258]","198 [189-207]"
"Brunei Darussalam"," 1958","144.48 [139.6-149.58]","155.52 [149.48-161.82]","132.92 [127.4-138.62]","456 [441-473]","253 [244-264]","203 [195-212]"
